Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
946,806,70,116,7,6,95,113,24,15,9,88,80,222,4,0
2343,2194,77,31,1,1,25,55,12,7,0,49,39,111,3,0
804,597,64,206,15,8,100,128,144,15,5,154,144,809,2,0
837,670,65,355,11,7,100,91,297,17,6,138,125,478,2,0
928,572,66,371,21,17,125,141,762,20,9,142,151,475,4,0
837,581,61,238,20,14,135,187,651,15,13,151,129,885,1,0
745,483,60,239,24,18,150,138,299,18,3,138,136,739,1,0
736,532,76,409,19,20,165,138,1048,20,2,174,153,639,2,0
1572,1083,63,259,14,11,105,120,119,15,9,150,162,484,1,0
657,458,79,179,3,3,45,139,0,15,0,96,87,91,2,0
833,568,60,237,21,15,115,117,375,14,9,127,162,336,2,0
834,498,68,147,14,11,110,154,277,26,2,103,119,708,3,0
918,584,60,293,21,13,130,168,168,15,3,156,131,621,2,0
926,674,63,196,20,13,125,100,68,15,4,127,123,476,2,0
666,507,54,526,23,24,220,193,515,26,13,185,132,1127,3,0
728,556,74,234,18,17,140,141,319,22,9,109,132,770,3,0
662,453,78,107,13,9,100,114,148,16,2,120,123,272,1,0
850,589,73,147,13,10,105,114,175,17,4,105,122,306,1,0
957,542,83,59,8,5,70,101,0,18,0,99,75,230,0,0
833,661,88,30,1,0,10,74,0,10,12,69,30,144,1,0
598,417,69,95,7,7,80,83,115,18,0,85,79,285,1,0
528,391,78,36,2,3,50,75,39,13,10,63,53,246,1,0
770,528,77,38,6,5,50,77,35,14,0,81,69,169,1,0
1036,754,80,97,8,5,65,86,42,14,7,89,66,367,2,0
848,419,80,279,17,15,130,111,675,27,7,139,151,201,2,0
730,438,84,241,7,10,85,83,124,20,3,115,106,439,1,0
831,534,83,134,14,10,110,79,131,19,7,118,113,518,1,0
934,608,78,255,12,11,100,98,201,20,3,124,121,471,1,0
756,496,76,213,19,15,155,111,335,23,7,143,140,477,2,0
485,323,82,143,5,2,30,123,51,14,8,100,89,103,1,0
853,553,81,98,11,11,90,92,132,18,5,117,87,258,1,0
715,488,79,160,22,11,120,123,145,22,2,148,144,294,0,0
787,486,76,62,8,6,85,71,37,16,3,97,137,127,0,0
676,448,69,87,14,10,115,116,338,17,6,157,134,992,1,0
590,394,80,237,21,19,175,89,309,23,10,170,157,458,0,0
734,470,68,77,15,13,115,74,126,22,8,101,141,477,1,0
645,436,77,324,10,9,120,124,422,20,3,153,125,264,3,0
682,453,74,343,23,16,160,96,996,20,4,170,164,792,1,0
