Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
813,514,82,316,34,28,190,144,105,24,14,115,162,357,8,1
863,530,85,141,17,12,100,87,33,20,8,96,124,325,2,1
721,460,97,33,2,2,40,92,43,12,0,69,42,139,0,1
734,472,91,25,2,2,25,53,0,9,0,56,45,246,2,1
735,445,93,60,5,5,80,83,40,14,0,79,37,204,1,1
905,586,88,38,7,5,65,44,65,14,0,65,62,177,1,1
658,440,88,14,18,10,115,78,0,17,7,98,75,457,1,1
1047,651,87,137,13,11,115,125,57,19,4,110,83,421,4,1
730,467,84,63,16,12,115,119,38,20,10,100,93,343,3,1
751,492,98,36,2,3,40,70,0,10,14,74,28,253,1,1
900,606,88,77,4,5,65,69,29,13,2,75,37,200,2,1
688,407,96,36,6,4,45,45,0,12,10,69,44,58,1,1
909,526,96,80,6,4,75,67,0,16,11,79,61,55,0,1
661,409,88,212,10,8,95,96,48,17,4,96,93,167,1,1
980,713,88,127,12,12,95,93,91,17,2,75,84,296,6,1
765,495,97,30,4,5,60,77,0,14,10,70,57,39,0,1
841,582,95,72,7,6,75,93,58,11,8,87,52,107,2,1
706,455,90,75,6,7,95,81,94,14,0,101,79,71,1,1
755,482,93,18,4,6,65,74,0,16,0,65,91,NA,0,1
804,511,95,38,4,4,55,60,41,15,0,62,34,100,1,1
602,404,91,31,7,9,95,77,52,15,6,88,108,299,0,1
885,535,95,32,5,5,65,79,0,11,6,67,63,181,0,1
977,606,60,157,40,28,220,82,432,23,10,115,197,441,1,1
1084,728,68,197,32,26,255,162,153,25,11,139,211,425,0,1
856,505,75,343,22,13,155,112,241,18,8,136,121,737,1,1
726,519,84,135,16,12,130,92,0,16,0,107,170,179,0,1
632,392,74,416,33,26,210,145,238,23,6,157,242,460,1,1
801,508,68,549,46,41,325,174,463,30,10,228,244,725,2,1
485,321,71,403,39,32,300,950,56,27,7,197,242,454,1,1
904,611,68,485,43,39,295,170,619,29,3,185,248,753,2,1
1020,698,69,216,37,29,280,160,293,25,6,158,237,668,1,1
534,302,63,371,33,36,185,60,278,28,8,137,249,375,1,1
648,404,66,584,36,30,265,259,157,34,11,183,238,1221,1,1
669,427,78,494,33,28,255,163,328,26,8,177,245,569,1,1
1014,700,78,432,26,22,210,222,260,21,5,143,191,444,1,1
669,465,62,568,39,29,265,212,213,19,5,140,259,689,1,1
751,509,79,153,24,15,150,160,193,20,2,129,191,533,0,1
624,403,71,348,38,34,280,137,588,22,6,153,233,770,0,1
516,330,60,521,42,32,250,188,390,29,12,172,219,311,0,1
843,521,81,295,32,23,205,157,111,26,0,166,193,214,0,1
486,298,76,187,31,28,225,127,65,26,0,118,220,124,0,1
774,528,70,251,18,18,150,85,410,21,10,113,149,401,2,1
684,482,81,38,15,11,105,100,0,17,7,81,119,161,2,1
791,547,74,21,16,13,120,158,101,16,11,94,119,228,4,1
708,448,84,115,30,27,220,173,138,26,11,144,224,467,0,1
867,584,80,74,12,8,90,83,28,15,9,76,112,127,1,1
677,447,79,40,13,8,95,61,76,16,2,82,108,163,2,1
614,430,78,59,12,9,100,71,83,17,3,74,110,310,2,1
773,526,83,130,17,11,130,113,0,18,0,128,133,233,3,1
579,416,78,86,14,10,110,77,0,14,0,79,120,277,2,1
623,372,87,54,10,11,120,108,52,15,0,99,82,386,1,1
736,483,88,20,5,4,70,89,81,14,8,73,92,163,3,1
582,414,75,52,13,9,110,138,85,16,0,95,111,361,2,1
833,541,77,20,18,12,130,75,0,19,10,94,110,421,1,1
767,514,79,119,11,8,95,104,0,17,8,107,118,483,2,1
698,460,91,40,9,7,70,54,42,20,4,84,95,359,1,1
721,461,90,26,6,5,70,90,46,13,3,78,61,111,1,1
740,576,75,235,21,18,165,117,135,21,10,129,114,420,7,1
1034,778,82,158,16,13,120,100,20,19,2,89,79,271,7,1
939,642,94,90,7,6,70,81,0,15,0,81,51,64,3,1
698,473,79,116,12,13,115,107,0,25,11,103,77,143,3,1
606,515,96,511,18,18,155,117,130,17,3,108,82,479,10,1
1051,664,91,89,6,6,70,83,28,15,5,78,51,172,2,1
728,508,81,236,23,16,160,123,57,26,4,107,107,165,5,1
871,547,82,18,10,10,105,81,39,17,6,81,105,195,1,1
871,660,73,299,16,12,115,107,74,18,5,108,78,494,7,1
1052,765,88,133,14,12,110,107,82,16,5,98,90,276,6,1
814,658,85,131,8,8,85,168,21,14,3,76,66,381,4,1
681,429,80,134,20,17,170,100,151,23,13,131,149,250,2,1
714,449,73,251,31,25,210,117,688,26,3,140,206,337,3,1
1167,754,86,244,20,17,175,133,131,22,9,126,196,584,3,1
655,411,62,193,37,32,225,170,221,28,13,137,216,917,3,1
709,431,81,166,20,13,165,111,134,21,15,117,181,452,1,1
424,299,77,262,30,25,210,241,234,28,5,137,221,1606,0,1
1242,863,59,182,25,18,195,89,79,18,5,119,205,363,4,1
631,381,67,501,28,26,165,180,586,27,3,193,227,413,4,1
800,567,80,396,22,18,185,187,358,26,7,167,175,563,4,1
551,398,75,229,35,35,280,160,254,27,5,166,201,1218,7,1
938,721,70,284,31,26,245,132,226,19,4,143,172,822,5,1
954,702,80,274,14,10,110,117,64,15,6,117,150,294,2,1
644,419,76,308,37,29,250,125,360,25,14,187,179,327,1,1
670,395,72,282,52,44,305,160,499,25,0,140,189,448,4,1
